✓  Goparaju Raman                                 [portrait=0.00, quality=0.35, text=0.190, face=0.23, front=0.69, out=116KB]  src=10008.png  →  Goparaju Raman.png
✓  Gummadi Venkateswara Rao                       [portrait=0.00, quality=0.35, text=0.138, face=0.25, front=0.67, out=11KB]  src=10008.jpg  →  Gummadi Venkateswara Rao.jpg
✓  Gundu Hanumantha Rao                           [portrait=0.00, quality=0.77, text=0.177, face=0.24, front=0.96, out=14KB]  src=10010.jpg  →  Gundu Hanumantha Rao.jpg
✓  Gundu Sudhakar                                 [portrait=0.00, quality=0.38, text=0.075, face=0.16, front=0.70, out=14KB]  src=10001.webp  →  Gundu Sudhakar.webp
✓  Gv Prakash                                     [portrait=0.00, quality=0.41, text=0.180, face=0.29, front=0.75, out=73KB]  src=10011.jpeg  →  Gv Prakash.jpg
✓  Gv Sudhakar Naidu                              [portrait=0.00, quality=0.75, text=0.103, face=0.22, front=0.59, out=309KB]  src=10007.jpg  →  Gv Sudhakar Naidu.jpg
✓  Hamsa Nandini                                  [portrait=0.00, quality=0.54, text=0.232, face=0.21, front=0.56, out=208KB]  src=10014.jpg  →  Hamsa Nandini.jpg
✓  Hansika                                        [portrait=0.00, quality=0.53, text=0.138, face=0.12, front=0.99, out=301KB]  src=10001.jpg  →  Hansika.jpg
skip Hari Krishna: no valid single-face frontal image
✓  Hariteja Charcter Artist                       [portrait=0.00, quality=0.66, text=0.097, face=0.17, front=0.73, out=352KB]  src=10009.jpg  →  Hariteja Charcter Artist.jpg
✓  Harsh Roshan                                   [portrait=0.00, quality=0.50, text=0.123, face=0.23, front=0.95, out=15KB]  src=10015.jpg  →  Harsh Roshan.jpg
✓  Harsha Vardhan                                 [portrait=0.00, quality=0.52, text=0.205, face=0.30, front=0.93, out=17KB]  src=10007.jpg  →  Harsha Vardhan.jpg
✓  Hema Charcter Artist                           [portrait=0.00, quality=0.61, text=0.367, face=0.21, front=0.91, out=14KB]  src=10020.jpg  →  Hema Charcter Artist.jpg
✓  Himaja Charcter Artist                         [portrait=0.00, quality=0.70, text=0.419, face=0.19, front=0.96, out=15KB]  src=10028.jpg  →  Himaja Charcter Artist.jpg
skip Hyper Aadi: no valid single-face frontal image
skip Ileana Charcter Artist: no valid single-face frontal image
✓  Indraja                                        [portrait=0.00, quality=0.48, text=0.107, face=0.17, front=0.96, out=12KB]  src=10030.jpg  →  Indraja.jpg
✓  Isha Chawla                                    [portrait=0.00, quality=0.48, text=0.058, face=0.17, front=0.93, out=139KB]  src=10005.jpg  →  Isha Chawla.jpg
✓  Ivana                                          [portrait=0.00, quality=0.59, text=0.049, face=0.28, front=0.91, out=204KB]  src=10002.jpg  →  Ivana.jpg
✓  JD Chakravarthy                                [portrait=0.00, quality=0.67, text=0.039, face=0.12, front=0.87, out=96KB]  src=10005.jpg  →  JD Chakravarthy.jpg
